codigocena,cena,classe,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1057,001/57,3,628904.110559935,628854.091068921,630363.604630968,629744.822898098,631079.302063304,631286.517106958,631379.478090607,630643.441926177,630080.815014371,630850.049351732,630263.900065843,630138.006421999,630054.534738005,630519.519770049,630720.016334785,630440.614818022,630980.211941548,629781.56995845,630159.777466496,630561.838271011,628446.10368058,628810.247871133,628674.75967256,629804.771835543,628850.590508749,629969.744648,626633.798007139,626840.310589703,629603.817649967,629483.29588423,629630.877063741,629796.776740695,630040.568831768,630040.568831768,630040.568831768
1057,001/57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8728780762,17.92614328,3.2998389099,34.5154645142,54.6717189392,46.3777415955,25.332520697,46.2952663696,108.4641956482,313.2412663818,447.3783852844,432.1216466431,542.624958075,505.3401944092,479.6530142639,372.626946759,494.0147906067,488.5749674683,515.9581315552,584.7667283232,584.7667283232,584.7667283232
1057,001/57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6567092957,3.6567092957,26.8475132324,99.8060426086,0,3.3905101135,91.3626871747,107.8475656799,7.4933780029,0,3.1216187561,3.6563824463,192.2062209421,300.5399285584,282.5803445374,233.8766996704,148.615028656,468.3243059092,161.5071125919,161.5071125919,161.5071125919
1057,001/57,27,2.0513449219,2.0513505432,2.2297128845,1.4269761963,0.8918576904,0.7135057617,1.2486599304,1.4270193848,1.3378174133,1.6945266846,1.337817334,0.891878363,1.2486314453,1.2486424744,1.2485964233,1.6945921082,1.1594123901,1.0702286133,1.070246698,1.1594359314,2.2297838623,2.2297980713,2.5864880066,1.3378256226,3.4784829712,2.5864474854,8.6512843506,3.4783825684,3.2999570801,3.1215973083,1.694577356,1.248655719,0.9810695862,0.9810695862,0.9810695862
1057,001/57,33,5348.2972846265,5398.3167700185,3888.6248456504,4508.2093152077,3174.2652685084,2967.2285767803,2873.7324389643,3609.5902439425,4172.3063577211,3402.7153110917,3989.2213063254,4115.5608891378,4198.67582005,3731.8178989008,3511.6114057138,3805.1932311628,3211.7248578128,4317.3412408902,4047.2337347062,3662.7384517467,5668.4677714994,5225.6697589576,5256.3783845449,4000.9711430474,4965.1469323771,3735.8467534955,6914.4634826565,6630.4772743921,3992.1342911525,4040.1502176826,3984.6975522809,3472.1513556262,3466.6354472326,3466.6354472326,3466.6354472326
1058,001/58,3,1371626.68566266,1372750.55274199,1371176.8101903,1375758.29489304,1378034.26207828,1376964.27910547,1377678.4804811,1375048.62436422,1374598.05698495,1376599.04470747,1376033.30707394,1376320.14609207,1374759.36383385,1373957.21948965,1375880.82209699,1375770.07950583,1371640.5699551,1369478.06273924,1369646.38564708,1370083.89297797,1368223.16219003,1371534.28159998,1373855.05262837,1376982.86180178,1374087.37955672,1374743.65613802,1368823.96838921,1371505.59870216,1372918.50442619,1373733.11322402,1367936.08777368,1369423.38776942,1371228.82368434,1371228.82368434,1371228.82368434
1058,001/58,13,3789.5655105617,3354.5885250794,2520.2409983094,2088.5625768738,2546.6150214051,2124.9069699524,2171.1510070374,3767.4909687806,3433.7784867798,2189.4674443787,2768.5056182129,3170.8889116211,3234.8796465516,2991.0521917603,3315.6355285219,3619.71899881,4354.6139215333,3894.7430608917,3707.0526853119,3776.3482324982,3018.4779815735,2773.263697583,2326.2615088929,2383.321661792,2466.0664284424,2282.6456492493,2306.9544152283,2818.6221557495,3210.5506874451,3449.8516441682,3642.0970215485,4215.4208579896,4823.5345726092,4823.5345726092,4823.5345726092
1058,001/58,15,0,0,0,0,0,0,0,0,0,0,0,0.535664447,15.0890804321,11.8746048096,13.0355623901,1.9646004639,6.2501630981,23.661566217,53.0342950806,35.4418955017,61.1577403687,144.5637324036,190.9050130493,175.1917167542,274.2290989807,489.7041012024,337.1678493408,159.5605984802,167.6953751038,136.7091467529,60.5410578613,114.9171325806,206.0442404354,206.0442404354,206.0442404354
1058,001/58,21,0,0,0.0892910217,0.0892910217,0.6251361389,0.6251361389,0.6251361389,0.6251361389,0.6251361389,0.6251361389,0.71442724,0.71442724,0.71442724,0.1785821228,6.3397444885,9.8225910156,102.9393254944,424.9378697998,180.7368674927,145.2877860596,581.5206223022,345.599026123,144.1346378784,42.1500178284,33.3041432007,215.8104141174,1697.7857613822,2626.3119023697,1339.5215878845,631.0293821838,1760.9033796448,3745.639180593,1562.1218067996,1562.1218067996,1562.1218067996
1058,001/58,25,20.2727575867,45.5438544006,11.78720495,15.8947143066,32.9528761719,10.8935047668,10.8935047668,10.8935047668,10.8935047668,11.0720868713,43.6637719849,60.8969384338,191.5365767456,15.3580492615,20.4478485229,22.5015727112,110.9034179138,83.8474555908,43.0395574158,44.6465928406,21.6981804749,10.7152071533,10.7152072144,28.1279361938,63.1318200867,51.5225555115,10.7149218628,13.1257807922,14.0187764404,14.5546197815,86.0814001343,165.8199096802,65.7203973389,65.7203973389,65.7203973389
