rule;type;kernel;active;biome;notes;tminus2;tminus1;t;tplus1;tplus2;result
RG01;RP;3;1;AMAZONIA;;null;27;3;3;null;3
RG03;RP;3;1;AMAZONIA;;null;27;33;33;null;33
RG04;RU;3;1;AMAZONIA;;null;3;3;27;null;3
RG05;RG;5;1;AMAZONIA;;3;3;33;3;3;3
RG06;RG;3;1;AMAZONIA;;null;3;27;3;null;3
RG07;RG;3;1;AMAZONIA;;null;15;27;15;null;15
RG08;RG;3;0;AMAZONIA;;null;13;27;13;null;13
RG09;RG;3;1;AMAZONIA;;null;3;15;3;null;3
RG10;RG;3;0;AMAZONIA;;null;3;13;3;null;3
RG11;RG;3;1;AMAZONIA;;null;15;3;15;null;15
RG12;RG;3;0;AMAZONIA;;null;15;13;15;null;15
RG13;RG;3;1;AMAZONIA;;null;19;27;19;null;19
RG14;RG;3;1;AMAZONIA;;null;3;19;3;null;3
RG15;RG;3;1;AMAZONIA;;null;19;3;19;null;19
RG16;RG;3;0;AMAZONIA;;null;19;13;19;null;19
RG17;RG;5;1;AMAZONIA;;19;19;33;19;19;19
RG18;RG;5;1;AMAZONIA;;15;15;33;15;15;15
RG19;RG;3;0;AMAZONIA;;null;13;3;13;null;13
RG20;RG;3;0;AMAZONIA;;null;13;19;13;null;13
RG21;RG;3;0;AMAZONIA;;null;13;15;13;null;13
RG22;RG;5;0;AMAZONIA;;13;13;33;13;13;13
RG23;RG;3;1;AMAZONIA;;null;33;15;33;null;33
RG24;RG;3;1;AMAZONIA;;null;33;19;33;null;33
RG25;RG;3;0;AMAZONIA;;null;33;13;33;null;33
RG26;RP;3;0;AMAZONIA;;null;27;13;13;null;13
RG27;RP;3;1;AMAZONIA;;null;27;15;15;null;15
RG28;RP;3;1;AMAZONIA;;null;27;19;19;null;19
RG29;RU;3;1;AMAZONIA;;null;15;15;27;null;15
RG30;RU;3;1;AMAZONIA;;null;33;33;27;null;33
RG31;RU;3;1;AMAZONIA;;null;19;19;27;null;19
RG32;RU;3;0;AMAZONIA;;null;13;13;27;null;13
RP01;RG;3;1;AMAZONIA;;null;19;15;19;null;19
RP02;RG;3;1;AMAZONIA;;null;15;19;15;null;15
RP03;RG;3;1;AMAZONIA;;null;33;27;33;null;33
RG*;RG;3;1;AMAZONIA;;null;4;12;4;null;4
RG*;RG;3;1;AMAZONIA;;null;4;3;4;null;4
RG*;RG;3;1;AMAZONIA;;null;4;19;4;null;4
RG*;RG;3;1;AMAZONIA;;null;4;15;4;null;4
RG*;RG;3;1;AMAZONIA;;null;12;4;12;null;12
RG*;RG;3;1;AMAZONIA;;null;12;3;12;null;12
RG*;RG;3;1;AMAZONIA;;null;12;19;12;null;12
RG*;RG;3;1;AMAZONIA;;null;12;15;12;null;12
RG*;RG;3;1;AMAZONIA;;null;12;33;12;null;12
RG*;RG;3;1;AMAZONIA;;null;15;4;15;null;15
RG*;RG;3;1;AMAZONIA;;null;15;12;15;null;15
RG*;RG;3;1;AMAZONIA;;null;19;4;19;null;19
RG*;RG;3;1;AMAZONIA;;null;19;12;19;null;19
RG*;RG;3;1;AMAZONIA;;null;3;4;3;null;3
RG*;RG;3;1;AMAZONIA;;null;3;12;3;null;3
RG*;RG;3;1;AMAZONIA;;null;33;4;33;null;33
RG*;RG;3;1;AMAZONIA;;null;33;12;33;null;33
